,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,ALL_NBA_TEAM_NUMBER,NAME
10,753,2002,0,1610612738,BOS,34.0,1,0,6.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,2,0.0,1.0,0.0,1,0,0,Randy Brown
11,753,2003,0,1610612756,PHX,35.0,32,0,260.0,16,43,0.372,0,0,0.0,9,12,0.75,3.0,23.0,26.0,35,17.0,2.0,17.0,36,41,0,Randy Brown
0,200769,2007,0,1610612739,CLE,21.0,23,5,202.0,28,74,0.378,7,25,0.28,10,14,0.714,6.0,15.0,21.0,10,7.0,3.0,14.0,24,73,0,Shannon Brown
1,200769,2008,0,1610612739,CLE,22.0,15,4,218.0,41,111,0.369,9,29,0.31,14,23,0.609,5.0,13.0,18.0,17,10.0,1.0,19.0,27,105,0,Shannon Brown
2,200769,2008,0,1610612741,CHI,22.0,6,0,22.0,3,15,0.2,0,1,0.0,3,6,0.5,1.0,1.0,2.0,0,1.0,2.0,5.0,2,9,0,Shannon Brown
3,200769,2008,0,0,TOT,22.0,21,4,240.0,44,126,0.349,9,30,0.3,17,29,0.586,6.0,14.0,20.0,17,11.0,3.0,24.0,29,114,0,Shannon Brown
4,200769,2009,0,1610612766,CHA,23.0,30,0,341.0,56,123,0.455,8,28,0.286,24,30,0.8,8.0,16.0,24.0,28,18.0,5.0,29.0,33,144,0,Shannon Brown
5,200769,2009,0,1610612747,LAL,23.0,18,0,136.0,22,42,0.524,6,9,0.667,8,9,0.889,3.0,17.0,20.0,10,4.0,2.0,9.0,9,58,0,Shannon Brown
6,200769,2009,0,0,TOT,23.0,48,0,477.0,78,165,0.473,14,37,0.378,32,39,0.821,11.0,33.0,44.0,38,22.0,7.0,38.0,42,202,0,Shannon Brown
7,200769,2010,0,1610612747,LAL,24.0,82,7,1700.0,253,592,0.427,62,189,0.328,99,121,0.818,30.0,153.0,183.0,108,57.0,31.0,67.0,129,667,0,Shannon Brown
8,200769,2011,0,1610612747,LAL,25.0,82,0,1568.0,273,643,0.425,74,212,0.349,92,101,0.911,35.0,122.0,157.0,96,67.0,16.0,75.0,124,712,0,Shannon Brown
9,200769,2012,0,1610612756,PHX,26.0,59,19,1400.0,251,598,0.42,68,188,0.362,80,99,0.808,38.0,119.0,157.0,69,44.0,15.0,64.0,66,650,0,Shannon Brown
10,200769,2013,0,1610612756,PHX,27.0,59,22,1402.0,240,571,0.42,39,141,0.277,98,125,0.784,44.0,105.0,149.0,108,59.0,15.0,74.0,92,617,0,Shannon Brown
11,200769,2014,0,1610612759,SAS,28.0,10,1,103.0,8,28,0.286,0,2,0.0,7,9,0.778,1.0,12.0,13.0,5,1.0,0.0,8.0,12,23,0,Shannon Brown
12,200769,2014,0,1610612752,NYK,28.0,19,0,148.0,16,38,0.421,0,0,0.0,8,12,0.667,6.0,9.0,15.0,4,12.0,0.0,10.0,12,40,0,Shannon Brown
13,200769,2014,0,0,TOT,28.0,29,1,251.0,24,66,0.364,0,2,0.0,15,21,0.714,7.0,21.0,28.0,9,13.0,0.0,18.0,24,63,0,Shannon Brown
14,200769,2015,0,1610612748,MIA,29.0,5,2,89.0,7,19,0.368,3,7,0.429,3,4,0.75,0.0,1.0,1.0,3,4.0,0.0,4.0,8,20,0,Shannon Brown
0,1628425,2018,0,1610612749,MIL,23.0,54,4,776.0,82,205,0.4,32,91,0.352,21,24,0.875,27.0,116.0,143.0,25,31.0,13.0,25.0,80,217,0,Sterling Brown
1,1628425,2019,0,1610612749,MIL,24.0,58,7,1034.0,145,312,0.465,53,147,0.361,29,42,0.69,29.0,155.0,184.0,84,25.0,8.0,46.0,88,372,0,Sterling Brown
2,1628425,2020,0,1610612749,MIL,25.0,52,1,767.0,95,256,0.371,44,136,0.324,32,40,0.8,31.0,152.0,183.0,51,29.0,7.0,42.0,54,266,0,Sterling Brown
3,1628425,2021,0,1610612745,HOU,26.0,51,14,1229.0,150,335,0.448,91,215,0.423,25,31,0.806,38.0,186.0,224.0,72,38.0,12.0,41.0,97,416,0,Sterling Brown
4,1628425,2022,0,1610612742,DAL,27.0,49,3,628.0,59,155,0.381,28,92,0.304,14,15,0.933,26.0,123.0,149.0,34,14.0,7.0,23.0,56,160,0,Sterling Brown
5,1628425,2023,0,1610612747,LAL,28.0,4,0,24.0,0,4,0.0,0,2,0.0,0,0,0.0,3.0,5.0,8.0,2,3.0,0.0,0.0,4,0,0,Sterling Brown
0,2357,2002,0,1610612745,HOU,23.0,40,1,402.0,49,115,0.426,4,12,0.333,21,28,0.75,12.0,30.0,42.0,70,19.0,3.0,40.0,26,123,0,Tierre Brown
1,2357,2003,0,1610612739,CLE,24.0,15,0,168.0,27,59,0.458,0,1,0.0,11,14,0.786,8.0,22.0,30.0,39,13.0,0.0,22.0,9,65,0,Tierre Brown
2,2357,2004,0,1610612740,NOH,25.0,3,0,17.0,2,4,0.5,0,0,0.0,2,4,0.5,0.0,1.0,1.0,2,0.0,0.0,7.0,1,6,0,Tierre Brown
3,2357,2005,0,1610612747,LAL,26.0,76,0,1066.0,124,348,0.356,26,72,0.361,59,75,0.787,21.0,72.0,93.0,155,32.0,1.0,74.0,59,333,0,Tierre Brown
0,1630535,2022,0,1610612757,POR,20.0,48,6,640.0,81,190,0.426,19,61,0.311,44,65,0.677,38.0,97.0,135.0,35,26.0,24.0,36.0,90,225,0,Greg Brown III
1,1630535,2023,0,1610612757,POR,21.0,16,0,93.0,11,28,0.393,1,7,0.143,5,12,0.417,2.0,17.0,19.0,3,4.0,5.0,6.0,13,28,0,Greg Brown III
0,1629718,2020,0,1610612737,ATL,23.0,10,0,40.0,6,19,0.316,3,9,0.333,5,5,1.0,2.0,2.0,4.0,2,2.0,2.0,3.0,3,20,0,Charlie Brown Jr.
1,1629718,2021,0,1610612760,OKC,24.0,9,1,152.0,13,43,0.302,5,21,0.238,9,10,0.9,3.0,14.0,17.0,9,4.0,2.0,6.0,19,40,0,Charlie Brown Jr.
2,1629718,2022,0,1610612742,DAL,25.0,3,0,15.0,1,5,0.2,0,3,0.0,0,0,0.0,0.0,1.0,1.0,1,2.0,1.0,0.0,2,2,0,Charlie Brown Jr.
3,1629718,2022,0,1610612755,PHI,25.0,19,2,162.0,9,34,0.265,1,9,0.111,9,10,0.9,14.0,17.0,31.0,5,8.0,3.0,5.0,16,28,0,Charlie Brown Jr.
4,1629718,2022,0,0,TOT,25.0,22,2,178.0,10,39,0.256,1,12,0.083,9,10,0.9,14.0,18.0,32.0,6,10.0,4.0,5.0,18,30,0,Charlie Brown Jr.
5,1629718,2024,0,1610612752,NYK,26.0,1,0,2.0,0,1,0.0,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,0,0,0,Charlie Brown Jr.
