,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,ALL_NBA_TEAM_NUMBER,NAME
5,203476,2019,00,1610612750,MIN,29.0,76,2,1031.0,189,377,0.501,19,56,0.339,88,106,0.83,81,230,311,72,48,41,57,134,485,0,Gorgui Dieng
6,203476,2020,00,1610612750,MIN,30.0,46,17,778.0,124,277,0.448,46,120,0.383,47,59,0.797,73,183,256,58,37,42,44,89,341,0,Gorgui Dieng
7,203476,2020,00,1610612763,MEM,30.0,17,0,318.0,42,87,0.483,8,32,0.25,31,42,0.738,18,80,98,15,14,17,16,35,123,0,Gorgui Dieng
8,203476,2020,00,0,TOT,30.0,63,17,1097.0,166,364,0.456,54,152,0.355,78,101,0.772,91,263,354,73,51,59,60,124,464,0,Gorgui Dieng
9,203476,2021,00,1610612763,MEM,31.0,22,1,371.0,56,108,0.519,23,48,0.479,38,43,0.884,28,70,98,29,17,14,22,38,173,0,Gorgui Dieng
10,203476,2021,00,1610612759,SAS,31.0,16,0,181.0,29,55,0.527,7,22,0.318,20,24,0.833,12,30,42,19,9,2,10,18,85,0,Gorgui Dieng
11,203476,2021,00,0,TOT,31.0,38,1,553.0,85,163,0.521,30,70,0.429,58,67,0.866,40,100,140,48,26,16,32,56,258,0,Gorgui Dieng
12,203476,2022,00,1610612737,ATL,32.0,44,3,371.0,53,112,0.473,29,68,0.426,19,26,0.731,32,89,121,34,11,13,20,52,154,0,Gorgui Dieng
13,203476,2023,00,1610612759,SAS,33.0,31,1,358.0,45,117,0.385,21,75,0.28,10,13,0.769,27,80,107,53,4,14,32,57,121,0,Gorgui Dieng
0,1631172,2023,00,1610612760,OKC,20.0,39,1,569.0,76,181,0.42,26,98,0.265,15,23,0.652,19,86,105,46,14,7,26,42,193,0,Ousmane Dieng
1,1631172,2024,00,1610612760,OKC,20.0,18,0,202.0,27,59,0.458,14,40,0.35,10,12,0.833,7,22,29,16,1,0,6,12,78,0,Ousmane Dieng
0,203915,2015,00,1610612765,DET,22.0,34,1,455.0,51,169,0.302,12,65,0.185,31,34,0.912,4,44,48,104,19,6,33,53,145,0,Spencer Dinwiddie
1,203915,2016,00,1610612765,DET,23.0,12,0,159.0,19,54,0.352,1,10,0.1,19,33,0.576,4,13,17,22,3,0,7,20,58,0,Spencer Dinwiddie
2,203915,2017,00,1610612751,BKN,24.0,59,18,1334.0,134,302,0.444,38,101,0.376,126,159,0.792,27,137,164,185,44,23,66,119,432,0,Spencer Dinwiddie
3,203915,2018,00,1610612751,BKN,25.0,80,58,2306.0,324,838,0.387,141,433,0.326,218,268,0.813,40,219,259,524,68,23,128,186,1007,0,Spencer Dinwiddie
4,203915,2019,00,1610612751,BKN,26.0,68,4,1914.0,366,828,0.442,124,370,0.335,287,356,0.806,26,140,166,311,40,17,152,187,1143,0,Spencer Dinwiddie
5,203915,2020,00,1610612751,BKN,27.0,64,49,1994.0,424,1021,0.415,123,400,0.308,347,446,0.778,32,189,221,432,40,21,174,180,1318,0,Spencer Dinwiddie
6,203915,2021,00,1610612751,BKN,28.0,3,3,64.0,6,16,0.375,2,7,0.286,6,6,1.0,0,13,13,9,2,1,5,4,20,0,Spencer Dinwiddie
7,203915,2022,00,1610612764,WAS,29.0,44,44,1330.0,185,492,0.376,70,226,0.31,116,143,0.811,36,171,207,256,27,7,73,107,556,0,Spencer Dinwiddie
8,203915,2022,00,1610612742,DAL,29.0,23,7,650.0,121,243,0.498,42,104,0.404,79,109,0.725,9,63,72,90,17,6,31,43,363,0,Spencer Dinwiddie
9,203915,2022,00,0,TOT,29.0,67,51,1981.0,306,735,0.416,112,330,0.339,195,252,0.774,45,234,279,346,44,13,104,150,919,0,Spencer Dinwiddie
10,203915,2023,00,1610612742,DAL,30.0,53,53,1808.0,316,694,0.455,138,341,0.405,170,207,0.821,19,144,163,279,39,16,90,124,940,0,Spencer Dinwiddie
11,203915,2023,00,1610612751,BKN,30.0,26,26,917.0,144,356,0.404,43,149,0.289,98,123,0.797,9,98,107,236,28,8,55,63,429,0,Spencer Dinwiddie
12,203915,2023,00,0,TOT,30.0,79,79,2725.0,460,1050,0.438,181,490,0.369,268,330,0.812,28,242,270,515,67,24,145,187,1369,0,Spencer Dinwiddie
13,203915,2024,00,1610612751,BKN,30.0,32,32,1009.0,144,374,0.385,63,203,0.31,92,120,0.767,22,105,127,208,27,6,51,56,443,0,Spencer Dinwiddie
0,101113,2006,00,1610612744,GSW,22.0,69,14,1031.0,175,334,0.524,0,0,0.0,136,168,0.81,95,134,229,29,15,30,78,164,486,0,Ike Diogu
1,101113,2007,00,1610612744,GSW,23.0,17,0,222.0,44,83,0.53,0,0,0.0,35,44,0.795,21,42,63,5,3,11,18,35,123,0,Ike Diogu
2,101113,2007,00,1610612754,IND,23.0,42,2,538.0,83,183,0.454,0,0,0.0,77,96,0.802,54,86,140,20,5,15,49,87,243,0,Ike Diogu
